순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수
163,삼체 =The three body ,류츠신 지음 ;허유영 옮김,자음과모음,2020,3,9.78895E+12,4820,823.7,471
163,"호감의 시작 :관계, 일, 인생이 풀리는 매력의 법칙 =Beginning of attraction ",희렌최 지음,책읽어주는남자,2024,,9.79119E+12,3190,194.2,471
165,부의 인문학 :슈퍼리치의 서재에서 찾아낸 부자의 길 ,브라운스톤 지음,Openmind(오픈마인드),2019,,9.789E+12,3320,327.04,470
166,에그박사 :Egg&bugs,원작: 에그박사 ;그림: 홍종현,미래엔,2020,2,9.79116E+12,77490,472,468
167,에그박사 :Egg&bugs,원작: 에그박사 ;그림: 홍종현,미래엔,2020,1,9.79116E+12,77490,472,467
168,인간 실격,다자이 오사무 지음;김춘미 옮김,민음사,2004,103,9.78894E+12,4830,833.6,466
168,에그박사 :Egg&bugs,원작: 에그박사 ;그림: 홍종현,미래엔,2020,4,9.79116E+12,77490,472,466
170,아비투스 :인간의 품격을 결정하는 7가지 자본 ,도리스 메르틴 지음 ;배명자 옮김,다산북스,2020,,9.79113E+12,3300,325.211,465
171,사장학개론 ,지은이: 김승호,스노우폭스북스,2023,,9.79119E+12,3320,325.24,461
172,흔한남매 과학 탐험대,원작: 흔한남매 ;임혜영,김영사,2021,2,9.78893E+12,77400,400,460
172,건전지 엄마 :강인숙·전승배 그림책 ,"지은이: 강인숙,전승배",창비,2023,,9.78894E+12,77810,813.7,460
172,"지리의 힘 :지리는 어떻게 개인의 운명을, 세계사를, 세계 경제를 좌우하는가 ",지은이: 팀 마샬 ;옮긴이: 김미선,사이,2016,,9.78899E+12,3300,340.98,460
172,"더 그레이트 비트코인 =인문학, 경제학, 과학을 아우르는 절대 지성의 세계관 /The great Bitcoin ",오태민 지음,거인의 정원,2023,,9.7912E+12,3320,327.2,460
172,비트코인 슈퍼 사이클 :인생에 다신 없을 혁명적 부의 기회 ,처리형 지음,거인의 정원,2024,,9.7912E+12,3320,327.2,460
177,바다 100층짜리 집 ,글·그림: 이와이 도시오 ;옮김: 김숙,북뱅크,2014,,9.78897E+12,74830,833.6,459
177,백년허리 :백년 동안 간직할 허리 사용설명서 ,저자: 정선근,언탱글링,2021,2,9.7912E+12,3510,514.325,459
179,에그박사 :Egg&bugs,원작: 에그박사 ;그림: 홍종현,미래엔,2020,6,9.79117E+12,77490,472,458
180,눈물을 마시는 새,이영도 지음,황금가지,2003,2,9.78898E+12,4810,813.6,457
